key	0	1	2	3	4	5	6
192801	0.016	0.023	0.126	0.541	0.088	0.076	0.130
192802	0.007	0.044	0.045	0.652	0.084	0.079	0.088
192803	0.007	0.032	0.083	0.647	0.107	0.047	0.077
192804	0.000	0.023	0.059	0.688	0.112	0.050	0.068
192805	0.000	0.043	0.089	0.726	0.056	0.048	0.038
192806	0.023	0.017	0.103	0.511	0.178	0.089	0.079
192807	0.033	0.035	0.104	0.476	0.167	0.083	0.101
192808	0.033	0.035	0.118	0.467	0.109	0.118	0.120
192809	0.033	0.062	0.096	0.502	0.121	0.061	0.124
192810	0.033	0.021	0.124	0.532	0.111	0.087	0.092
192811	0.033	0.008	0.124	0.515	0.149	0.089	0.081
192812	0.023	0.032	0.145	0.528	0.148	0.069	0.055
192901	0.023	0.034	0.128	0.524	0.140	0.097	0.054
192902	0.023	0.065	0.107	0.511	0.149	0.093	0.053
192903	0.014	0.078	0.114	0.506	0.148	0.087	0.052
192904	0.000	0.032	0.109	0.559	0.142	0.097	0.062
192905	0.000	0.053	0.115	0.521	0.123	0.096	0.092
192906	0.000	0.037	0.135	0.600	0.080	0.072	0.076
192907	0.012	0.045	0.092	0.594	0.122	0.084	0.051
192908	0.002	0.062	0.128	0.617	0.097	0.044	0.050
192909	0.000	0.083	0.058	0.632	0.113	0.054	0.059
192910	0.014	0.076	0.072	0.592	0.099	0.072	0.074
192911	0.056	0.059	0.094	0.535	0.102	0.071	0.083
192912	0.031	0.067	0.096	0.639	0.081	0.030	0.056
193001	0.035	0.051	0.066	0.654	0.088	0.046	0.059
193002	0.019	0.055	0.053	0.784	0.045	0.015	0.028
193003	0.021	0.039	0.095	0.765	0.044	0.008	0.028
193004	0.021	0.056	0.167	0.688	0.037	0.031	0.000
193005	0.001	0.027	0.205	0.688	0.046	0.029	0.004
193006	0.003	0.056	0.244	0.625	0.044	0.029	0.000
193007	0.027	0.149	0.255	0.472	0.056	0.041	0.000
193008	0.053	0.174	0.257	0.387	0.064	0.036	0.029
193009	0.071	0.116	0.326	0.356	0.079	0.033	0.019
193010	0.084	0.075	0.183	0.537	0.068	0.033	0.019
193011	0.106	0.072	0.120	0.591	0.052	0.026	0.033
193012	0.126	0.099	0.122	0.585	0.034	0.026	0.008
193101	0.147	0.099	0.161	0.506	0.048	0.036	0.003
