key,0,1,2,3,4,5,6,row
191907,0.047,0.062,0.102,0.491,0.1,0.042,0.156,10
191908,0.083,0.068,0.096,0.495,0.08,0.032,0.147,10
191909,0.053,0.048,0.107,0.558,0.066,0.021,0.147,10
191910,0,0.013,0.097,0.63,0.073,0.028,0.158,10
191911,0,0.016,0.076,0.539,0.173,0.04,0.156,10
191912,0.002,0.004,0.11,0.582,0.113,0.038,0.15,10
192001,0.002,0.011,0.155,0.524,0.103,0.054,0.15,9
192002,0.005,0.115,0.029,0.588,0.079,0.056,0.129,9
192003,0,0.031,0.027,0.656,0.098,0.05,0.138,9
192004,0,0,0.026,0.58,0.163,0.106,0.126,9
192005,0,0.005,0.043,0.544,0.194,0.075,0.138,9
192006,0,0.004,0.042,0.524,0.185,0.125,0.12,9
192007,0,0,0.042,0.581,0.171,0.1,0.107,9
192008,0,0,0.021,0.545,0.158,0.109,0.167,9
192009,0,0,0.008,0.676,0.119,0.107,0.089,9
192010,0,0.007,0.026,0.685,0.093,0.06,0.13,9
192011,0.007,0.006,0.033,0.645,0.124,0.102,0.083,9
192012,0.002,0.009,0.031,0.627,0.161,0.112,0.058,9
192101,0.005,0.01,0.033,0.659,0.124,0.101,0.069,9
192102,0.006,0.014,0.046,0.673,0.135,0.092,0.034,9
192103,0.002,0.014,0.063,0.718,0.115,0.058,0.029,9
192104,0,0.011,0.087,0.733,0.08,0.059,0.03,9
192105,0.004,0.016,0.072,0.707,0.121,0.058,0.022,9
192106,0.005,0.039,0.103,0.661,0.073,0.084,0.035,9
192107,0.015,0.052,0.096,0.599,0.082,0.102,0.054,9
192108,0.005,0.04,0.097,0.691,0.052,0.061,0.054,9
192109,0.012,0.044,0.096,0.733,0.051,0.033,0.032,9
192110,0.006,0.049,0.146,0.728,0.027,0.012,0.032,9
192111,0.011,0.038,0.177,0.699,0.044,0.015,0.016,9
192112,0.02,0.058,0.191,0.601,0.088,0.013,0.029,9
192201,0.012,0.027,0.159,0.697,0.064,0.011,0.029,9
192202,0.002,0.023,0.129,0.738,0.068,0.018,0.022,9
192203,0,0.006,0.077,0.777,0.098,0.019,0.022,9
192204,0.002,0.013,0.059,0.705,0.17,0.019,0.032,9
192205,0.002,0.009,0.058,0.686,0.18,0.043,0.022,9
192206,0,0.012,0.069,0.667,0.15,0.076,0.026,9
192207,0.005,0.025,0.069,0.59,0.19,0.097,0.025,9
192208,0.026,0.04,0.071,0.61,0.125,0.118,0.01,9
192209,0.041,0.055,0.093,0.697,0.096,0.017,0.001,9
192210,0.047,0.059,0.113,0.701,0.076,0.005,0,9
192211,0.031,0.066,0.143,0.646,0.096,0.018,0,9
192212,0.026,0.069,0.118,0.664,0.108,0.014,0,9
192301,0.023,0.052,0.119,0.692,0.079,0.034,0,9
192302,0.012,0.052,0.113,0.723,0.089,0.01,0,9
192303,0.014,0.036,0.11,0.75,0.07,0.021,0,9
192304,0.013,0.036,0.061,0.748,0.104,0.033,0.006,9
192305,0.013,0.033,0.063,0.753,0.088,0.05,0,9
192306,0.012,0.024,0.076,0.67,0.149,0.053,0.016,9
192307,0.012,0.033,0.049,0.629,0.146,0.07,0.061,9
192308,0.014,0.025,0.042,0.611,0.119,0.092,0.097,9
192309,0.014,0.026,0.036,0.64,0.098,0.08,0.106,9
192310,0.018,0.02,0.032,0.608,0.133,0.062,0.127,9
192311,0.025,0.027,0.054,0.602,0.119,0.062,0.112,9
192312,0.024,0.026,0.068,0.51,0.145,0.124,0.104,9
192401,0.022,0.035,0.077,0.519,0.153,0.118,0.076,9
192402,0.02,0.04,0.102,0.558,0.099,0.103,0.078,9
192403,0.026,0.083,0.042,0.534,0.118,0.105,0.093,9
192404,0.019,0.073,0.048,0.574,0.133,0.09,0.062,9
192405,0.074,0.049,0.069,0.564,0.145,0.043,0.057,9
192406,0.11,0.036,0.052,0.581,0.139,0.041,0.041,9
192407,0.117,0.04,0.051,0.601,0.109,0.038,0.043,9
192408,0.111,0.065,0.093,0.579,0.09,0.034,0.029,9
192409,0.108,0.071,0.084,0.509,0.138,0.057,0.033,9
192410,0.023,0.069,0.127,0.655,0.051,0.048,0.027,9
192411,0.03,0.099,0.184,0.597,0.048,0.023,0.02,9
192412,0.013,0.079,0.153,0.651,0.055,0.024,0.024,9
192501,0.001,0.067,0.18,0.639,0.051,0.037,0.024,9
192502,0.016,0.083,0.216,0.61,0.045,0.019,0.011,9
192503,0.027,0.119,0.259,0.543,0.035,0.012,0.006,9
192504,0.056,0.139,0.248,0.514,0.025,0.012,0.006,9
192505,0.069,0.169,0.306,0.427,0.023,0.006,0,9
192506,0.122,0.142,0.204,0.465,0.056,0.004,0.006,9
192507,0.12,0.106,0.177,0.537,0.042,0.012,0.006,9
192508,0.156,0.12,0.122,0.541,0.045,0.008,0.006,9
192509,0.11,0.092,0.083,0.626,0.069,0.014,0.006,9
192510,0.05,0.086,0.081,0.629,0.115,0.015,0.024,9
192511,0.033,0.086,0.076,0.653,0.107,0.024,0.021,9
192512,0.034,0.096,0.09,0.687,0.054,0.022,0.017,9
192601,0.016,0.056,0.122,0.664,0.103,0.022,0.017,9
192602,0.001,0.049,0.142,0.703,0.073,0.015,0.017,9
192603,0.024,0.039,0.162,0.661,0.044,0.058,0.011,9
192604,0.042,0.076,0.124,0.59,0.111,0.034,0.023,9
192605,0.066,0.078,0.16,0.49,0.134,0.05,0.023,9
192606,0.086,0.065,0.172,0.515,0.117,0.023,0.023,9
192607,0.097,0.073,0.172,0.47,0.073,0.086,0.028,9
192608,0.054,0.056,0.09,0.647,0.106,0.019,0.028,9
192609,0.05,0.045,0.072,0.611,0.139,0.059,0.024,9
192610,0.036,0.044,0.079,0.597,0.146,0.063,0.034,9
192611,0.017,0.049,0.048,0.615,0.158,0.074,0.039,9
192612,0.019,0.04,0.045,0.606,0.191,0.073,0.026,9
192701,0.024,0.043,0.059,0.64,0.148,0.064,0.021,9
192702,0.021,0.041,0.038,0.633,0.185,0.063,0.018,9
192703,0.011,0.04,0.076,0.625,0.192,0.029,0.026,9
192704,0.016,0.045,0.047,0.586,0.151,0.111,0.043,9
192705,0.031,0.052,0.063,0.473,0.188,0.106,0.087,9
192706,0.012,0.052,0.061,0.501,0.183,0.082,0.109,9
192707,0.011,0.044,0.046,0.54,0.162,0.066,0.13,9
192708,0.008,0.047,0.094,0.489,0.138,0.073,0.151,9
192709,0.022,0.054,0.078,0.456,0.147,0.101,0.142,9
192710,0.022,0.028,0.095,0.509,0.126,0.083,0.137,9
192711,0.026,0.029,0.105,0.466,0.104,0.101,0.169,9
192712,0.009,0.021,0.102,0.536,0.077,0.087,0.168,9
192801,0.016,0.023,0.126,0.541,0.088,0.076,0.13,9
192802,0.007,0.044,0.045,0.652,0.084,0.079,0.088,9
192803,0.007,0.032,0.083,0.647,0.107,0.047,0.077,9
192804,0,0.023,0.059,0.688,0.112,0.05,0.068,9
192805,0,0.043,0.089,0.726,0.056,0.048,0.038,9
192806,0.023,0.017,0.103,0.511,0.178,0.089,0.079,9
192807,0.033,0.035,0.104,0.476,0.167,0.083,0.101,9
192808,0.033,0.035,0.118,0.467,0.109,0.118,0.12,9
192809,0.033,0.062,0.096,0.502,0.121,0.061,0.124,9
192810,0.033,0.021,0.124,0.532,0.111,0.087,0.092,9
192811,0.033,0.008,0.124,0.515,0.149,0.089,0.081,9
192812,0.023,0.032,0.145,0.528,0.148,0.069,0.055,9
192901,0.023,0.034,0.128,0.524,0.14,0.097,0.054,9
192902,0.023,0.065,0.107,0.511,0.149,0.093,0.053,9
192903,0.014,0.078,0.114,0.506,0.148,0.087,0.052,9
192904,0,0.032,0.109,0.559,0.142,0.097,0.062,9
192905,0,0.053,0.115,0.521,0.123,0.096,0.092,9
